gene_id1,gene_id2,p_val_cond
Il6st,Serpinh1,4.418822197038708e-09
Emp1,Timp3,4.578656676024195e-09
Col6a3,Vcan,4.872542369582789e-09
Aebp1,Sdc4,4.943417675207229e-09
Cd248,Col6a1,5.002273484322473e-09
Fbln2,Fkbp9,5.066601915793001e-09
Fgfr1,Fn1,5.230321065141652e-09
P4hb,Pdia4,5.249882972790942e-09
Rpn2,Serpinf1,5.31582722285151e-09
Fn1,Thbd,5.472698849651181e-09
Myadm,Pdia6,5.676211722871471e-09
Emp1,Rpn2,5.795695035004655e-09
Fn1,Mogs,5.89447224363937e-09
Crim1,Ptx3,5.940236857959746e-09
Col1a1,Cyp51,5.950301251722578e-09
Slc38a2,Slc3a2,6.145311259864172e-09
Fn1,Slc38a10,6.437034683060006e-09
Slc38a2,Vcan,6.490042392393036e-09
Sec61a1,Serpinh1,6.69924649088216e-09
Col1a1,Slc38a4,6.831360699344202e-09
Man2a1,Serpinh1,7.139309698978025e-09
Cd164,P4hb,7.71471653226996e-09
Crim1,Vasn,7.74478225995523e-09
Lrp1,Thbs1,7.832559822951168e-09
Ldlr,Thbs1,7.890195052873139e-09
Crim1,Nid1,8.011155405718284e-09
Emp1,Pcdh19,8.210066626546109e-09
Atp1a1,Postn,8.339705703797051e-09
Col6a3,Sdc4,8.677698004611045e-09
Fn1,Slc7a1,8.81220996173937e-09
Bgn,Ltbp2,8.829522890607677e-09
Lox,Prss23,8.89106299695186e-09
Col6a3,Postn,9.02470687069723e-09
Fn1,Pcolce,9.12391306950866e-09
Lox,Slit2,9.311466486749964e-09
Ldlr,Nid1,9.668046363486837e-09
Col5a1,Ltbp2,9.978611825722794e-09
Col6a1,Emp1,1.013090678014805e-08
Fbln2,Ltbp2,1.031358920489112e-08
Itgb1,Sec61a1,1.081301892469355e-08
Ctsd,P4hb,1.091470369640746e-08
Clstn1,Pdia6,1.107485680940101e-08
Kctd10,Palld,1.138937399947082e-08
Ddr2,Palld,1.237121660668805e-08
Col5a2,Pdia3,1.242538272272498e-08
Arhgap11a,Cyb5r3,1.335060673124389e-08
Calu,Myadm,1.39685725208949e-08
Col6a1,Serpinf1,1.406750071986096e-08
Ltbp1,Pdia6,1.479784539348827e-08
Clstn1,Nid1,1.488718159858848e-08
Slc38a2,Zfp36l2,1.503095858890191e-08
Nid1,Pxdn,1.533046511958958e-08
Bgn,Itgav,1.552775563684605e-08
Flna,Flnc,1.584941022869657e-08
Cd248,Thbs1,1.602911492426529e-08
Col6a2,Ganab,1.603139110351037e-08
Col6a2,Vcan,1.615595501824885e-08
Ddr2,Kctd10,1.617756040239726e-08
Fbln2,Ganab,1.619635003891062e-08
Itgav,Itgb1,1.626171042268254e-08
Aebp1,Loxl3,1.650319525481336e-08
Loxl3,Tnc,1.68337593864365e-08
