opc,mye,opc_n,mye_n,opal,lx,ly,rep,d
0.4004273686998263,0.3233445445400076,50,5,1,29444.7,6944.2,rep2,-0.07708282415981871
0.3206700610928402,0.31153179776309464,40,9,0,29932.3,6463.5,rep2,-0.009138263329745544
0.35477684018566424,0.4404243096287906,40,10,0,29706.0,5499.9,rep2,0.08564746944312635
0.3648565387982621,0.506581256520778,51,5,0,30391.8,6850.5,rep2,0.14172471772251594
0.33717835230147586,0.5761019595088908,40,5,1,29223.7,5117.8,rep2,0.2389236072074149
0.9494900470616765,0.32731336987458454,4,28,5,29510.0,5044.9,rep2,-0.622176677187092
0.42202605283452543,0.55924556690682,32,3,0,29527.4,4505.3,rep2,0.1372195140722946
0.39896525618858186,0.6226921464397673,44,6,0,30277.2,6298.1,rep2,0.22372689025118547
0.43745286856921484,0.6724204927886507,50,8,1,27458.2,7518.1,rep2,0.23496762421943584
0.42248721132803435,0.5918096887365365,56,11,5,27957.3,5683.3,rep2,0.16932247740850215
0.33867649615693624,0.4941044657550564,72,4,0,27865.9,6039.9,rep2,0.15542796959812016
0.40154353722325337,0.4538159818907192,37,6,0,28006.0,4795.4,rep2,0.052272444667465834
0.3816135670343307,0.6065593113103811,54,13,0,28096.5,6692.7,rep2,0.2249457442760504
0.419129811441443,0.5645511491501175,49,7,0,27504.6,6438.4,rep2,0.1454213377086745
0.43358443561839505,0.5248483848595531,42,11,0,27434.8,6803.5,rep2,0.09126394924115805
0.41875376885729654,0.6463277016604371,75,7,0,27330.0,7030.9,rep2,0.22757393280314053
0.47122881142830036,0.7260523792264025,39,6,2,33480.8,17098.4,rep2,0.25482356779810217
0.42450179964602835,0.5701616046074579,39,19,3,33559.2,18469.9,rep2,0.14565980496142955
0.36365032554618987,0.5577726801100786,37,9,0,32915.9,18278.4,rep2,0.19412235456388877
0.6782704563936172,0.2687254745349358,6,37,25,32726.4,16697.5,rep2,-0.4095449818586814
0.3974764518717119,0.6507481868424596,47,15,0,31685.8,19078.1,rep2,0.25327173497074773
0.2978404947159607,0.709049107231364,28,22,0,31574.4,19310.7,rep2,0.41120861251540336
0.3336363236710977,0.7181130725185042,59,19,0,31665.5,17127.2,rep2,0.3844767488474065
0.6028370471904236,0.5299634895370163,9,26,5,32487.8,16252.1,rep2,-0.0728735576534073
0.4857520449923401,0.7394372413095629,37,15,0,31231.5,17033.7,rep2,0.2536851963172228
0.34137360140528533,0.6781621338600087,37,25,4,31155.5,19591.7,rep2,0.33678853245472334
0.3701967554987334,0.6423362015418947,27,36,3,31245.3,16493.3,rep2,0.27213944604316137
0.615999095822279,0.5524150080962675,9,27,15,14259.2,10709.8,rep2,-0.06358408772601143
0.3430501392092239,0.3572553494639319,35,20,7,12922.4,8134.8,rep2,0.014205210254708
0.4062112531124074,0.4672316695354066,28,20,7,15282.3,11573.4,rep2,0.06102041642299921
0.28852152498676326,0.4135943170523267,56,17,6,12995.0,11312.3,rep2,0.12507279206556343
0.4074827913236746,0.778224171776628,40,7,0,12328.3,8639.5,rep2,0.37074138045295335
0.4375182374679209,0.5724197619040258,53,10,0,11968.3,8116.3,rep2,0.13490152443610487
0.30504502598278266,0.6880873395706761,75,21,0,19134.1,22368.6,rep2,0.3830423135878935
0.25604350390132014,0.7650062882000381,44,9,0,16317.8,21363.2,rep2,0.508962784298718
0.3811512747099884,0.6544678052981133,35,4,0,16923.3,23712.1,rep2,0.27331653058812494
0.6313313732234359,0.16155273264264006,7,10,1,30941.0,9173.5,rep2,-0.4697786405807959
0.8144857165191262,0.42682667210007447,18,25,19,29956.7,10079.9,rep2,-0.3876590444190517
0.31778572277388634,0.31015156747710104,28,9,1,30501.8,8795.2,rep2,-0.007634155296785294
0.4618503157556166,0.5379573891557543,28,7,3,29691.1,8259.9,rep2,0.07610707340013773
0.3657342674248098,0.5085951012871829,53,6,1,30392.0,8358.2,rep2,0.14286083386237308
0.4171296806663723,0.4961025861600829,36,6,1,28561.0,10065.7,rep2,0.07897290549371061
0.6050663713560238,0.3542947540463333,27,15,0,28474.2,10512.9,rep2,-0.2507716173096905
0.46167181837010435,0.2840354863295508,3,39,25,28894.6,10918.5,rep2,-0.17763633204055357
0.8180484424013068,0.4719618134742234,3,15,4,27581.0,10830.4,rep2,-0.3460866289270834
0.3567673864919997,0.53871209696848,36,29,1,27431.3,11076.3,rep2,0.1819447104764803
0.336465371407739,0.7447967343733354,18,19,1,27362.5,11375.2,rep2,0.40833136296559636
0.575047229333287,0.34439177535597937,7,47,33,27978.2,10237.7,rep2,-0.23065545397730763
0.31778073889029185,0.6905461681151878,43,3,0,29242.8,10473.3,rep2,0.3727654292248959
0.4863098026905903,0.7193228853652386,61,7,0,34079.0,23771.5,rep2,0.23301308267464826
